category,task,confidence,original_review
netcode/desync,optimize server synchronization,0.95,"The game is good, but 1 feature is absolutely horrible to the point where I almost want to stop playing. This is the fact that you can join in mid match. Too often, I join a game with only 10 minutes left, all spots are looted, and all the players are surrounding you. I've joined so many matches with god gear just to be destroyed by 10 mines placed by someone camping the loot spot i'm trying to go to because of joining 20 minutes after a game has started. Extremely frustrating."
weapon/ai balance,Reduce AI damage and number of enemies,0.95,good game just lower the ai's damage and how many there are
netcode/desync,optimize server synchronization,0.95,"Played a lot of it and enjoy it but in the state it is I don't recommend it, there is a very very common bug that still hasn't been fixed that renders you unable to hear and speak to other players, turning off your voice chat entirely, which is a HUGE part of the game."
netcode/desync,optimize server synchronization,0.8,"maybe get the game when the programming actually allows you to open it
it says i have a few hrs of playtime but it kept running after i closed it like 10 times. some goofy creepy virus behavior"
netcode/desync,optimize server synchronization,1.0,The game has terrible servers and will not work with squad play. Absolutely fucking disgusting excuse for a pvp shooter.
netcode/desync,optimize server synchronization,1.0,"Got through the tutorial, game crashed, and would just not launch again. Create 32 error or something. Refunding. Was hyped for this one too. Rip."
netcode/desync,"optimize server synchronization, add gyro support",1.0,"Game keeps crashing. Also, no Gyro support."
other,Update AMD drivers,1.0,"Please update your AMD drivers, I am losing multiple kits because youre drivers are not up to date. Thank you"
netcode/desync,optimize server synchronization,0.9,"The game worked fine for almost 40 hours but now it's completely unplayable. I cannot play any longer than a few minutes without a full PC crash. I tried rolling back and reinstalling my drivers. I verified my game files. I uninstalled and reinstalled the game. Nothing works. The game is effectively broken and I can't fix it. I really enjoyed it when it worked, hopefully they can figure it out soon."
netcode/desync,optimize server synchronization,1.0,"This game is so close to being amazing, but the server desync is the worst I've experienced in a game, BY FAR. It's shockingly bad. Really hoping they patch the game soon so I can continue playing."
netcode/desync,optimize server synchronization to reduce desync issues,0.8,"This game would be absolute fire with a PvE only mode. Most of the time, players I've found are friendly and cooperative, but the feeling of being murdered and losing your stuff ruins alot of the fun. 80% of the time, it's fun, and 20% of the time, it makes you rage-quit and question all of your life decisions."
other,Add new content updates,0.95,"I ABSOLUTELY LOVE THIS GAME!!! I LOVE EVERYTHING ABOUT IT! Every morning when I wake up, the first thing I think about is playing this game. I'm constantly thinking about this game all day, even when I'm sleeping I have dreams about Arc Raiders. Last week I got 45 hours of play time! I try to stay on for as long as possible until my mom gets mad at me. She's always saying I shouldn't be spending 12 hours a day playing video games, but this isn't any ordinary game. I keep trying to tell her how much this game means to me, but she just doesn't understand my passion. This game has been the highlight of my year and I can't wait for more content updates."
weapon/ai balance,Add new loot locations and balance player behavior to reduce overcrowding.,0.95,"After 60 hours the game starts to feel like you are doing the same things. The maps has only 1 or 2 good loot locations and everybody rush these places which is kinda annoying and killing the same arcs over and over again makes you question ""okay, what now ?"". It is fun to play but I think the developers should add tons of content and new arcs to keep the game fresh."
netcode/desync,optimize server synchronization,0.9,"The desync issues can be annoying but that would probably be my only complaint with the game, I'm having a blast"
other,Remove jolt mines from the game,1.0,Game is absolute garbage. Remove jolt mines and its playable
netcode/desync,optimize server synchronization,0.95,Lovely game but until they fix the desync issue it is not worth playing. You will be shot by people behind cover and will be hit by bullets that miss.
netcode/desync,Optimize server synchronization,0.9,"Game crashes at the most inconvenient times. Gives me integrity violations minutes before the game ends on multiple occasions. Upon trying to relaunch there was a patch. I can only assume it thought my game integrity wasn't good because I hadn't updated yet.  I've lost too much loot to this stupid ass bug, fix your fucking game."
